,Eigenvector_value,L140_IRI,L149_IRI,L062_IRI,N048_IRI,N068_IRI,N090_IRI,N098_IRI,L005_IRI,L027_IRI,L031_IRI,L072_IRI,L074_IRI,L078_IRI,L102_IRI,L115_IRI,L133_IRI,L137_IRI
TCP1,0.013376945,2.735629609,1.239953021,0.802079382,0.260111264,-0.120203995,1.001162911,0.866306688,-0.803139166,-0.760387926,-0.975289516,-0.130715649,-0.758000632,-0.892675009,-0.749623391,-0.841778728,-0.750303634,-0.123125228
ELOVL1,0.013408517,2.445692717,1.822653542,0.542319584,0.151065189,-0.168276798,1.03119176,0.965194572,-0.893719278,-0.741493899,-0.895192976,-0.392949988,-0.853989063,-0.930021507,-0.616053598,-0.764085431,-0.604249658,-0.098085168
GINM1,0.01336954,2.543864702,1.304128166,0.748414477,0.335900085,0.153687171,0.941910419,0.912473094,-0.922158621,-0.780250195,-0.941471954,-0.378798985,-0.87662722,-0.936836139,-0.843542727,-0.924217514,-0.63126898,0.294794219
LMBRD2,0.013358218,2.497362732,1.44193076,0.889233956,0.286244071,0.180924878,0.922260957,0.731164661,-0.874958006,-0.804738316,-1.117492522,-0.070486923,-0.686240914,-0.96162757,-0.775308055,-0.993556876,-0.695721924,0.031009092
MAN1B1,0.013369244,1.843352587,1.673239986,0.934876569,0.15859911,0.090074461,1.502276766,0.961941062,-0.948774031,-0.861177622,-1.062156888,-0.16379134,-0.856279469,-0.98394237,-0.707506734,-0.983491776,-0.782979263,0.185738951
GTF3C5,0.013353368,2.104600745,1.723945559,0.763752708,0.052780783,0.320596061,1.163283499,0.989326946,-0.898187176,-0.65711848,-1.170537887,-0.205482468,-0.869536345,-0.980904693,-0.761153149,-0.860279387,-0.684455673,-0.030631044
CCDC22,0.013313328,2.435448155,1.592899966,0.515644414,0.264671798,0.034243023,1.345437176,0.855533652,-0.755145601,-0.685425238,-0.927010896,-0.421757648,-0.853608501,-0.822170266,-0.717532788,-0.847106908,-0.723101175,-0.291019162
MRPL2,0.013352342,2.096585061,1.91086699,0.707385237,0.343682691,0.050552192,0.978253293,0.86813952,-0.845948873,-0.784081418,-1.012577522,-0.010528913,-0.901587268,-0.897619618,-0.749092915,-0.998420875,-0.965788955,0.210181373
SF1,0.0134349,2.191445165,1.67790955,1.093494297,-0.082064429,-0.07184804,1.314764171,0.784268405,-0.963195492,-0.761815167,-1.102401159,-0.328547379,-0.699263229,-0.900822441,-0.64902134,-0.945118483,-0.546889808,-0.010894621
TRMT2A,0.013421738,2.081892258,1.522327929,0.698627763,0.359188961,0.140149438,1.169834131,1.393353708,-0.799888972,-0.801077309,-0.962882617,-0.407804733,-0.912608031,-0.971147621,-0.846436465,-0.830479941,-0.894097598,0.061049101
EIF3B,0.013368953,2.523592351,1.371623726,0.563557106,0.271319861,-0.181668051,1.116459463,0.972833233,-0.793985159,-0.805071057,-0.96493364,-0.343673614,-0.840219546,-0.869300439,-0.826175079,-0.907118723,-0.676316665,0.389076231
NAGK,0.013334615,2.352632831,1.11183643,1.084777848,0.11685147,0.474623431,1.141780275,1.045569763,-0.831880479,-0.646004958,-1.066906862,-0.172130663,-0.855560887,-1.058039406,-0.693377888,-1.018831022,-0.837226908,-0.148112976
FAM136A,0.013324815,2.41360875,1.643240219,0.533823145,0.317884209,-0.063707249,1.221680345,0.621697956,-0.9310909,-0.931710855,-0.931135654,0.108510662,-0.836444216,-0.9276644,-0.761166257,-0.82824405,-0.802026497,0.152744793
ALAS1,0.013373208,2.486927249,1.594744969,0.555425859,0.133737788,-0.17343926,1.218392165,0.785650894,-0.705992839,-0.762133226,-0.902869234,-0.348083453,-0.835847826,-0.902815209,-0.817818309,-0.839942847,-0.766529337,0.280592617
HNRNPA2B1,0.013444195,2.298762646,1.602890881,0.796209812,0.127003677,-0.195295412,1.370273712,1.027666338,-0.765805224,-0.72213631,-0.961670427,-0.46299977,-0.702208232,-0.883714802,-0.738497627,-0.819424174,-0.783662799,-0.187392288
CIAO1,0.0133926,2.331612327,1.168722559,0.78318655,0.33328646,-0.027914555,1.148941066,1.395782026,-0.719482289,-0.881800787,-0.951772701,-0.336614643,-0.932040375,-0.920959045,-0.848538113,-0.926515141,-0.727748355,0.111855016
URM1,0.013348803,2.41195593,1.323081165,0.93335868,-0.079461589,0.048138655,0.992672367,1.175940691,-0.805112386,-0.847200591,-1.001855055,-0.302022021,-0.778969988,-0.966124289,-0.776842186,-0.92747116,-0.589487981,0.189399759
INO80C,0.013331305,2.215552033,1.367708451,0.600739255,0.049944532,-0.16995413,1.488297263,1.043594292,-0.762131191,-0.556321488,-1.115441398,-0.195146805,-0.88125236,-0.947540734,-0.659373559,-1.057696988,-0.820562268,0.399585093
PARVG,0.013317397,1.982136656,1.540818999,0.832430165,0.535001432,0.124005125,0.954570819,1.451033232,-0.751497813,-0.822018196,-0.991756794,-0.33846408,-0.908813674,-1.061043434,-0.890071103,-1.000628148,-0.706853739,0.051150552
PHB2,0.013353961,2.397958773,1.563368882,1.015646849,-0.074120734,-0.096752907,0.964078519,1.000229178,-0.752573757,-0.684710863,-1.039350335,-0.264811051,-0.801820927,-0.831661895,-0.737574806,-0.868061788,-0.783437267,-0.00640587
RCBTB1,0.013391061,2.364366347,1.693592107,0.733382876,-0.107254331,-0.027441388,1.134064787,0.879975652,-0.83179468,-0.732299262,-1.010583275,-0.312963752,-0.803597072,-0.898446589,-0.717457938,-0.962684749,-0.553919236,0.153060505
CLCN7,0.013333653,2.049915815,1.741498127,0.937212083,0.090956264,-0.005800395,1.176376565,1.29692877,-0.823182854,-0.718787676,-0.95203575,-0.368354896,-0.841984763,-0.850315226,-0.772143014,-0.885761453,-0.646416337,-0.428105258
SRF,0.013338799,2.290038109,1.647580311,0.760311936,-0.130817316,-0.14616822,0.966367012,1.294255175,-0.771781776,-0.833520552,-0.916889601,-0.372196956,-0.822299122,-0.7693019,-0.731373711,-0.978460508,-0.705725591,0.21998271
SYNGR2,0.013308983,2.69923145,1.264723885,0.707090582,0.436615049,-0.208319068,0.941557443,0.79242835,-0.888095629,-0.758837392,-0.920717478,-0.356461552,-0.800079875,-0.896623249,-0.818990302,-0.875679116,-0.628651733,0.310808635
SLC22A18,0.013421612,2.358178482,1.436307404,0.743531655,0.363461229,0.401075815,0.981949089,1.116784583,-0.955481536,-0.748714396,-0.946671977,-0.231119455,-0.904699932,-0.938041292,-0.829607472,-0.973408509,-0.686448905,-0.187094782
RETSAT,0.013320473,2.097574145,1.923279138,0.858960795,0.048923405,0.141757885,1.339376672,0.844261022,-0.841180648,-0.736133186,-0.881441372,-0.447045705,-0.751675844,-0.840633765,-0.826943779,-0.834228956,-0.711479569,-0.383370237
SLC25A1,0.013313508,2.311283313,1.733135182,0.513678132,0.534849632,-0.040798386,0.995950313,1.145854381,-0.776531418,-0.845186277,-0.966229672,-0.392109394,-0.959016349,-0.979544842,-0.712927564,-0.654100399,-0.630985579,-0.277321073
LDB1,0.013347917,1.914834914,1.903205417,1.089932559,0.240106832,0.111933969,0.936332449,1.063481811,-0.901085734,-0.855816006,-1.003057293,-0.214002724,-0.815186065,-0.948016675,-0.868549208,-0.981442853,-0.680308207,0.007636815
FTSJ1,0.013325091,1.983047458,1.632444125,0.696706637,0.497565122,-0.065849095,1.472379089,0.996185556,-1.028317439,-0.863033712,-0.943701394,-0.304297968,-0.717740935,-0.842371812,-0.799566479,-0.994986861,-0.805221388,0.086759094
SRSF9,0.013383269,2.297194274,1.605323993,0.886349317,-0.223024623,0.2162112,1.284178265,0.959154492,-0.816731113,-0.802063414,-0.864209348,-0.080669357,-0.83611876,-0.926528244,-0.771546933,-0.861976892,-0.782154624,-0.283388234
DNAJB12,0.013307808,2.262069519,1.75759647,0.53762786,0.320870955,-0.305219147,1.198986716,0.76456948,-0.92273364,-0.859196271,-0.92191364,-0.230257079,-0.843855738,-0.95916139,-0.684660084,-1.004252026,-0.554114226,0.44364224
DGCR8,0.01332459,2.052468736,1.799091817,1.069248934,0.120688915,0.031559516,0.907956111,1.141724688,-1.072597219,-0.717480777,-1.164702171,-0.305410048,-0.842854852,-0.940670339,-0.613510417,-0.864955269,-0.431684942,-0.168872683
SLC35C2,0.013465851,2.107467932,1.724172666,0.718172025,0.127706449,0.236460617,1.330348808,0.977850633,-0.789668399,-0.821853349,-0.985520213,-0.325805767,-0.880936027,-0.941137601,-0.787900337,-0.989478767,-0.730117248,0.030238577
SLC20A1,0.013326228,2.045819431,1.74947921,1.241142191,0.039995703,0.209015203,0.973769496,0.727558953,-1.11912958,-0.668642797,-1.180912332,-0.20424231,-0.786840515,-0.913933428,-0.712832391,-1.004219813,-0.649009679,0.252982657
AIFM1,0.013312585,2.35664085,1.546492169,0.882859718,0.007911288,0.078399648,1.475966556,0.650874832,-0.85488577,-0.735494081,-0.940260105,-0.445804126,-0.710397391,-0.8523803,-0.661349904,-0.877883417,-0.74467559,-0.176014376
SNRPA1,0.013353428,2.02806527,1.569664557,1.260121688,-0.166982995,0.010919243,1.176902062,0.881567008,-1.06734921,-0.601197566,-1.244018998,-0.039516973,-0.778543266,-0.991648249,-0.719836811,-0.974072341,-0.626605147,0.282531727
PSMD11,0.013339785,2.357165398,1.265944738,0.931767279,-0.047333929,0.216351728,1.394472827,0.965986053,-0.793929473,-0.788777113,-1.008602736,-0.370989294,-0.863254244,-0.887248422,-0.683320249,-0.85619748,-0.772842046,-0.059193037
PDCD1,0.013301627,2.321925228,1.716398888,0.427910389,0.341308151,0.318303375,0.790675255,1.227570074,-1.069107117,-0.544610738,-1.129160096,-0.247599264,-0.88247333,-0.656521554,-0.698082715,-0.979708126,-0.785433174,-0.151395247
DGAT1,0.013307698,2.221089197,1.457960023,0.674567781,0.113209004,0.289928365,1.213112134,1.426107306,-0.878743084,-0.767133919,-0.981915608,-0.389605847,-0.742246701,-0.841367093,-0.777778731,-0.871867578,-0.69561312,-0.44970213
L3MBTL2,0.013432797,2.295876751,1.564134848,0.721068028,0.326130875,-0.019366209,0.988383556,1.16814727,-0.743657349,-0.816083353,-1.037824492,-0.319724401,-0.899889326,-0.86685001,-0.788119135,-0.925219463,-0.790417236,0.143409646
EOGT,0.013332271,2.711956021,1.178491373,0.81908754,0.085411994,-0.220364499,1.040507813,1.044105512,-0.75558092,-0.556477561,-0.91712996,-0.552193337,-0.731855008,-0.79043658,-0.776079051,-0.892774901,-0.788304829,0.101636393
PLXNA1,0.013349573,2.126785855,1.397827189,0.750723511,0.330512838,-0.11619252,1.247057009,1.339862153,-0.798854803,-0.537712843,-1.176574172,-0.454069612,-0.733919196,-1.066132107,-0.732617285,-0.926446012,-0.715827709,0.065577704
KCNAB2,0.013353594,2.181005053,1.266329455,0.885224595,0.406858353,-0.020822718,1.34427215,1.160975891,-0.844809661,-0.791437848,-1.012132286,-0.368051756,-0.864041786,-0.869251357,-0.842081938,-0.94538599,-0.761094163,0.074444007
HNRNPH3,0.01343182,2.453899102,1.471242765,0.921662663,0.431826716,-0.351424778,1.173741561,0.849434148,-0.717322564,-0.751156963,-0.960803912,-0.24466114,-0.750879763,-0.8932734,-0.774781105,-0.881870675,-0.842494656,-0.133138
VPS26B,0.013326763,2.299413503,1.190407472,0.772152975,-0.073545734,-0.151237424,1.373133541,1.380049643,-0.72574287,-0.592353841,-1.043565792,-0.458144432,-0.779913408,-0.959436287,-0.812948442,-0.926406111,-0.61341762,0.121554828
N4BP2L2,0.013314482,2.580017559,1.229225117,0.768676984,-0.113652443,0.084347328,1.469027393,0.842424106,-0.758385409,-0.476731881,-0.968562594,-0.52275414,-0.804424234,-0.874247784,-0.686513539,-0.911467052,-0.65023951,-0.206739901
SMYD5,0.013370905,2.551528455,1.415041266,0.824237185,0.212731821,0.033353243,0.776939422,0.896305468,-0.948861317,-0.822163873,-1.117235866,-0.299142708,-0.883337086,-0.946619153,-0.650204266,-0.963315326,-0.422916095,0.34365883
FAM206A,0.013377404,2.153031555,1.592858245,0.877325342,-0.03791455,0.144058654,1.47523666,0.967306027,-0.827350292,-0.770656472,-0.92391483,-0.625139952,-0.898144494,-0.850793926,-0.735160936,-0.853575255,-0.659685287,-0.027480492
DMAP1,0.013360605,1.874936937,1.433288259,0.854164174,0.319530475,0.130966984,1.555416202,1.301855896,-0.873886394,-0.841036679,-1.038757976,-0.286516981,-0.867190366,-0.938205501,-0.78331698,-0.997095932,-0.741968549,-0.102183568
PRKAA1,0.013318557,2.57866642,1.126546883,0.761508327,0.457177426,0.051228304,1.043760094,1.054923277,-0.934782849,-0.607979484,-1.125193434,-0.408479664,-0.760264559,-0.94740249,-0.699744456,-0.973398827,-0.4769507,-0.139614269
JAK3,0.013324403,1.824855275,1.606385168,0.984395775,0.179517828,0.293559725,1.275823597,1.234222931,-0.977806215,-0.761072649,-1.149216089,-0.340926197,-0.784297102,-0.931733806,-0.811184807,-1.057798591,-0.626559532,0.041834687
DDX51,0.013302763,2.248210896,1.181133022,0.665834166,0.161876168,0.318192094,1.464074074,1.242336901,-0.865935571,-0.87629117,-0.91781643,-0.450483502,-1.019857496,-0.737589525,-1.02939105,-0.772430237,-0.660628348,0.048766006
CCDC82,0.013334617,2.391268559,1.282320667,1.219520227,-0.094528925,-0.079389944,1.056318666,1.070632253,-0.903809392,-0.650849767,-1.101373614,-0.261421483,-0.773692289,-0.963656798,-0.498612885,-1.010482303,-0.585560861,-0.096682111
CTBP1,0.01331125,2.499882108,1.61797791,0.456668778,0.269034607,-0.048601032,1.254315431,0.988531213,-0.603425539,-0.779033166,-0.834458262,-0.527611112,-0.767164082,-0.855307744,-0.764417755,-0.874765403,-0.669910122,-0.361715831
TMUB2,0.013362666,1.989806652,1.720170451,0.703323686,0.244432851,0.242891258,1.187089085,1.063131502,-0.633221885,-0.471907644,-1.343324605,-0.298033686,-0.931679904,-1.391058337,-0.754302769,-0.761232929,-0.622220699,0.056136974
TMEM126A,0.013322155,2.277790466,1.665755297,0.880208343,-0.16026251,-0.075265611,1.46263058,0.620937448,-0.77389946,-0.552307624,-0.972911802,-0.197974947,-0.813305903,-0.802128189,-0.770000525,-1.021712894,-0.778600796,0.011048127
